"TrustName.x","abx","fyear","usage_rate"
"trust_1","Amoxicillin","2014-2015",69.5256940787658
"trust_2","Amoxicillin","2014-2015",51.8765840912238
"trust_3","Amoxicillin","2014-2015",65.8118247287348
"trust_4","Amoxicillin","2014-2015",53.7108907476068
"trust_5","Amoxicillin","2014-2015",40.3029892127961
"trust_6","Amoxicillin","2014-2015",11.8814035318792
"trust_7","Amoxicillin","2014-2015",41.4102308917791
"trust_8","Amoxicillin","2014-2015",99.0915716392919
"trust_9","Amoxicillin","2014-2015",24.8225471470505
"trust_10","Amoxicillin","2014-2015",60.9043972566724
"trust_11","Amoxicillin","2014-2015",79.3091674800962
"trust_12","Amoxicillin","2014-2015",94.8538209311664
"trust_13","Amoxicillin","2014-2015",4.25140478182584
"trust_14","Amoxicillin","2014-2015",59.1854756930843
"trust_15","Amoxicillin","2014-2015",81.8823164328933
"trust_16","Amoxicillin","2014-2015",17.5070032477379
"trust_17","Amoxicillin","2014-2015",5.91496098786592
"trust_18","Amoxicillin","2014-2015",85.5990459211171
"trust_19","Amoxicillin","2014-2015",51.1215043952689
"trust_20","Amoxicillin","2014-2015",81.460555898957
"trust_21","Amoxicillin","2014-2015",11.8015656014904
"trust_22","Amoxicillin","2014-2015",27.3720157565549
"trust_23","Amoxicillin","2014-2015",80.5774891516194
"trust_24","Amoxicillin","2014-2015",29.6683134743944
"trust_25","Amoxicillin","2014-2015",68.509255698882
"trust_26","Amoxicillin","2014-2015",89.7445304319263
"trust_27","Amoxicillin","2014-2015",7.95983842108399
"trust_28","Amoxicillin","2014-2015",22.7625731378794
"trust_29","Amoxicillin","2014-2015",70.6667437683791
"trust_30","Amoxicillin","2014-2015",28.8372395094484
"trust_31","Amoxicillin","2014-2015",38.2818103767931
"trust_32","Amoxicillin","2014-2015",4.48140108492225
"trust_33","Amoxicillin","2014-2015",6.93815774284303
"trust_34","Amoxicillin","2014-2015",74.490458285436
"trust_35","Amoxicillin","2014-2015",58.3057209150866
"trust_36","Amoxicillin","2014-2015",59.4275660580024
"trust_37","Amoxicillin","2014-2015",74.9031707644463
"trust_38","Amoxicillin","2014-2015",22.8837617207319
"trust_39","Amoxicillin","2014-2015",40.7829081639647
"trust_40","Amoxicillin","2014-2015",29.535001469776
"trust_41","Amoxicillin","2014-2015",20.9201551740989
"trust_42","Amoxicillin","2014-2015",55.0437433179468
"trust_43","Amoxicillin","2014-2015",56.3071599928662
"trust_44","Amoxicillin","2014-2015",39.412162755616
"trust_45","Amoxicillin","2014-2015",51.7108603846282
"trust_46","Amoxicillin","2014-2015",21.8914875993505
"trust_47","Amoxicillin","2014-2015",80.0955335842445
"trust_48","Amoxicillin","2014-2015",97.4386249668896
"trust_49","Amoxicillin","2014-2015",23.6081523820758
"trust_50","Amoxicillin","2014-2015",54.2240777984262
"trust_51","Amoxicillin","2014-2015",13.6519732186571
"trust_52","Amoxicillin","2014-2015",80.6481844047084
"trust_53","Amoxicillin","2014-2015",95.8639546995983
"trust_54","Amoxicillin","2014-2015",67.6765663782135
"trust_55","Amoxicillin","2014-2015",64.8828904377297
"trust_56","Amoxicillin","2014-2015",28.3512541092932
"trust_57","Amoxicillin","2014-2015",29.1968923527747
"trust_58","Amoxicillin","2014-2015",37.087376601994
"trust_59","Amoxicillin","2014-2015",70.8087597507983
"trust_60","Amoxicillin","2014-2015",47.622753563337
"trust_61","Amoxicillin","2014-2015",9.34937363490462
"trust_62","Amoxicillin","2014-2015",41.8628900079057
"trust_63","Amoxicillin","2014-2015",65.2855827938765
"trust_64","Amoxicillin","2014-2015",17.2617509029806
"trust_65","Amoxicillin","2014-2015",28.4573641140014
"trust_66","Amoxicillin","2014-2015",87.1133723063394
"trust_67","Amoxicillin","2014-2015",20.5056624719873
"trust_68","Amoxicillin","2014-2015",18.4823209419847
"trust_69","Amoxicillin","2014-2015",31.726235919632
"trust_70","Amoxicillin","2014-2015",17.8910213988274
"trust_71","Amoxicillin","2014-2015",97.6736657554284
"trust_72","Amoxicillin","2014-2015",92.0473094331101
"trust_73","Amoxicillin","2014-2015",89.8432375397533
"trust_74","Amoxicillin","2014-2015",76.6682889079675
"trust_75","Amoxicillin","2014-2015",3.08275776915252
"trust_76","Amoxicillin","2014-2015",31.2879098113626
"trust_77","Amoxicillin","2014-2015",53.0388354090974
"trust_78","Amoxicillin","2014-2015",76.4592185616493
"trust_79","Amoxicillin","2014-2015",72.9725346202031
"trust_80","Amoxicillin","2014-2015",88.0464605055749
"trust_81","Amoxicillin","2014-2015",47.7808702271432
"trust_82","Amoxicillin","2014-2015",0.84146149456501
"trust_83","Amoxicillin","2014-2015",9.71895151305944
"trust_84","Amoxicillin","2014-2015",40.9045923734084
"trust_85","Amoxicillin","2014-2015",99.3729797424749
"trust_86","Amoxicillin","2014-2015",26.6962900292128
"trust_87","Amoxicillin","2014-2015",29.202108643949
"trust_88","Amoxicillin","2014-2015",48.3522206312045
"trust_89","Amoxicillin","2014-2015",39.359033270739
"trust_90","Amoxicillin","2014-2015",74.6253543533385
"trust_91","Amoxicillin","2014-2015",13.0220004590228
"trust_92","Amoxicillin","2014-2015",91.619113390334
"trust_93","Amoxicillin","2014-2015",5.93225343618542
"trust_94","Amoxicillin","2014-2015",72.0362315187231
"trust_95","Amoxicillin","2014-2015",90.4968879418448
"trust_96","Amoxicillin","2014-2015",48.8384402357042
"trust_97","Amoxicillin","2014-2015",54.2745623970404
"trust_98","Amoxicillin","2014-2015",44.2323734518141
"trust_99","Amoxicillin","2014-2015",27.3166849743575
"trust_100","Amoxicillin","2014-2015",90.4696231940761
